Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Electricity production from hydroelectric sources (% of total),"Electricity production from renewable sources, excluding hydroelectric (% of total)",Electricity production from coal sources (% of total),Electricity production from nuclear sources (% of total),Electricity production from oil sources (% of total),Date,Country,"('Country', 'Type')","('Country', 'Group')"
,,,,,,,2018,gb,gb,gb
,,,,,,,2017,gb,gb,gb
100.0,,,,,,,2016,gb,gb,gb
100.0,,1.869745150971,22.9703052717954,22.806490741952,20.9138531793695,0.63414953204343,2015,gb,gb,gb
100.0,8.35418574202265,1.75756726206631,17.5052864211302,30.3116975302198,19.0126247789247,0.56547556912909,2014,gb,gb,gb
100.0,7.50774320412521,1.32330725540336,13.6651728823286,37.0497899981152,19.8628306509918,0.581197446782175,2013,gb,gb,gb
100.0,7.87079605210159,1.46810041417932,9.95585976238163,40.0515015736592,19.5575420360067,0.694743450494321,2012,gb,gb,gb
100.0,7.55634211155477,1.56062358990143,7.9284295108727,30.062958067344,18.9561217170982,0.829364675879998,2011,gb,gb,gb
100.0,7.03132018241483,0.94193057456444,5.87088285184344,28.7459244658871,16.4183915577656,1.30707729379251,2010,gb,gb,gb
100.0,7.54494452798529,1.40134183573636,5.36546662699593,27.9965475740543,18.521407453273,1.6069327286227,2009,gb,gb,gb
100.0,7.30270509055947,1.3359145596757,4.34113764519398,32.6819634643869,13.6387495777356,1.74336720110179,2008,gb,gb,gb
100.0,7.0819475228452,1.29195284130381,3.71834053912375,34.9875690572587,16.0388425609014,1.28482763359128,2007,gb,gb,gb
100.0,6.9936202119818,1.16742495488397,3.43466436214829,38.2482271306204,19.1777444526345,1.56927534758407,2006,gb,gb,gb
100.0,7.05593461229155,1.24473352789144,3.03874808434448,34.4782588904119,20.6405243964737,1.35018941597164,2005,gb,gb,gb
100.0,8.4786264497365,1.23773889664126,2.37529326974683,34.0596711289671,20.4455655569697,1.18687991658105,2004,gb,gb,gb
100.0,8.1094612910404,0.816003479457043,1.86894382295228,35.3614994032327,22.4258086703214,1.1616733760848,2003,gb,gb,gb
100.0,8.05080669275472,1.24468596835632,1.6484873698306,32.6787919759747,22.8416906096023,1.24780613372509,2002,gb,gb,gb
100.0,8.3890388317014,1.06075822244539,1.43657419030881,34.795798811616,23.5621181688844,1.37354590342288,2001,gb,gb,gb
100.0,8.31866444073456,1.35853088480801,1.30457429048414,32.6677796327212,22.7213355592654,2.25602671118531,2000,gb,gb,gb
